,k
2025-09-22,3.451346011750376
2025-09-29,2.6887945936723585
2025-10-06,2.281838010791859
2025-10-13,2.325422007042194
2025-10-20,0.8428065657615942
2025-10-27,0.8580424356162196
2025-11-03,0.8890841714314331
2025-11-10,0.8925451142935845
2025-11-17,2.3090473898700483
2025-11-24,3.165367432553941
2026-02-16,1.1538576597363088
2026-02-23,1.1538576597363088
2026-03-02,1.0980051238122646
2026-03-23,1.4436229888854186
2026-03-30,1.8266866468620544
2026-04-06,1.0679868607719314
2026-04-13,0.6950941965917181
2026-04-20,0.6489527677411345
2026-04-27,0.6305296384676008
2026-05-04,0.6501009571938346
2026-05-11,0.5745576413518293
2026-05-18,0.8042065799936717
2026-05-25,0.78167265327201
2026-06-01,1.7344569286535507
